Tanggapan,SI,S_SI,I,S_I
Kadang informasi yang diberikan oleh pihak kampus tidak sampai ke mahasiswa,1,0,0,1
sudah bagus hanya perlu ditingkatkan,0,1,0,1
Lebih ditingkatkan lagi,0,0,0,0
L,0,0,0,0
baik,0,1,0,1
No comment,0,1,0,1
sistem informasinya di permudah,1,0,0,1
semua sudah berjalan dengan baik,0,1,0,1
tidak ada,0,1,0,1
sudah baik,0,1,0,1
Sudah Baik,0,1,0,1
Pertahankan,0,1,0,1
pemberian informasi terkait perkuliahan sudah baik,1,1,0,1
Iya,0,1,0,1
konten infrmasi beasiswa diperluas,1,0,0,1
selalu update informasi yang penting dan terbaru,1,0,0,1
tetap semangat agar lebih baik,0,1,0,1
"Good, wifi masih lambat",0,1,1,0
tidak ada,0,1,0,1
tidak ada,0,1,0,1
PERBAIKI DAN TINGKATKAN LAGI KUALITASNYA SE,0,0,0,0
gaada,0,1,0,1
lebih diperbaiki lagi,0,0,0,0
sudah baik,0,1,0,1
-,0,0,0,0
mobile app aktifkan lagi,0,0,0,0
"Cukup, tingkatkan lagi",0,1,0,1
sudah cukup baik,0,1,0,1
tingkatkan lagi,0,0,0,0
Sejauh ini sangat memuaskan teruslah berkembang,0,1,0,1
Penyebaran informasinya ditingkatkan lagi,1,0,0,1
"semoga lebih baik lagi ,dan menjadi yang terbaik dari universitas lainnya",0,1,0,1
layanan tel-u di bidang sistem informasi cukup baik,1,1,0,1
"Konten sudah baik, namun system tidak terlalu setabil ketika masa masa registrasi yang seharusnya dapat dihindari",1,0,0,1
Semoga Lebih cepat dan tanggap kedepannya,0,0,0,0
bagus,0,1,0,1
semoga respon lebih cepat dan lebih baik dari sebelumnya,0,0,0,0
tingkatkan lagi,0,0,0,0
"informasi mengenai beasiswa kurang disebar luaskan sehingga ada sebagian mahasiswa yang ingin api ketinggalan informasi. dan dalam pemberian beasiswa dengan syarat tertentu jangan berbelit-belit dalam memberikan informasi,",1,0,0,1
tingkatkan,0,0,0,0
lebih ramah lagi dan lebih cekatan kerjanya,1,0,0,1
-,0,0,0,0
tidak ada,0,1,0,1
Tingkatkan kembali,0,0,0,0
lebih ditingkatkan lagi dalam sosialisai dan koordinasi,1,0,0,1
perkuat kooridnasi antar divisi,1,0,0,1
-,0,0,0,0
Informasi mengenai telkom sangat mudah di mengerti,1,1,0,1
layanan sistem informasi sudah baik. mungkin harus terus diperbaharui,1,1,0,1
lebih tingkatakan layanan dalam sistem informasi,1,0,0,1
jangan memberikan informasi yang mendadak,1,0,0,1
Sebaiknya ketika mahasiswa/i sedang melakukan pencarian ada baiknya server informasi tidak down,1,0,0,1
nope,0,1,0,1
Tolong lebih dipermudah dan terbuka,0,0,0,0
igracias dan pelayanan pergantian kelas lebih diperhatikan lagi,1,0,0,1
"Informasi sudah jelas,tetapi terkadang ada kesalahan",1,0,0,1
semakin canggih,0,1,0,1
"layanan sistem informasi belum memuaskan, karena akses internet di Tel-U (TUNE) saangat lambat",1,0,1,0
sudah baik,0,1,0,1
"TUNE di beberapa gedung sering tidak terhubung, menyebabkan terganggunya komunikasi",1,0,0,1
perbaiki lagi layanannya,0,0,0,0
"sudah baik, tingkatkan lagi",0,1,0,1
lebih di cek kembali apakah informasi yang ada di telkom benar,1,0,0,1
"Sangat baik , tinggal dikembangkan lagi",0,1,0,1
good,0,1,0,1
sudah baik semoga terus meningkat dalam penyebaran informasinya,1,1,0,1
tidak ada,0,1,0,1
cukup efektif. cepet sampainya ke mahasiswa hingga cepet tanggap,1,1,0,1
-,0,0,0,0
sudah baik,0,1,0,1
cukup baik,0,1,0,1
Informasi dangat mendukunh berkat adanya igracias,1,1,0,1
sabgat baik,0,1,0,1
"Sudah bagus tingkatkan lagi, agar membuat mahsiswa/i lebih nyaman berada di kampus",0,1,0,1
Lebih cepat dalam menanggapi laporan masalah yang ada,0,0,0,0
-,0,0,0,0
baik. lebih dibuat menarik,0,1,0,1
O...,0,0,0,0
-,0,0,0,0
lebih sering aja di share tentang info beasiswa,1,0,0,1
Semoga bisa lebih baik,0,1,0,1
sudah baik,0,1,0,1
berikan pelayanan informasi yang mudah diakses,1,0,0,1
sangat jelas,0,1,0,1
tidak ada,0,1,0,1
"perbaiki tune jangan ketika jam kerja, kalau perlu saat liburan jadi jadwal libur staff sisfo berbeda",1,0,0,1
?????,0,0,0,0
a,0,0,0,0
bagus,0,1,0,1
Baik,0,1,0,1
Sebaiknya informasi diberikan juga ke handphone mahasiswa,1,0,0,1
SISFO harus bisa mengatasi server overloading. Sangat mengesalkan jika tidak bisa mengakses igracias. Contohnya pada saat input lokasi geladi. MENGECEWAKAN.,1,0,0,1
.,0,0,0,0
baik,0,1,0,1
tidak ada saran yang dapat saya berikan karena sudah sangat bagus,0,1,0,1
good,0,1,0,1
ya,0,1,0,1
Gunakan medsoa lain untuk menyebarkan informasi,1,0,0,1
Tidak ada,0,1,0,1
"sudah bagus dan jelas. khususnya iGracias, tampilannya beda dan memudahkan dalam menjalankannya. Terimakasih :)",1,1,0,1
Sudah sangat memuaskan,0,1,0,1
lebih diperluas,0,0,0,0
no comment,0,1,0,1
Informasi seharusnya mudah untuk diakses.. saya masihh merasa kebanyakan informasi saya dapat dari aplikasi bernama line.. mengapa igracias tidak berbentuk apps?,1,1,0,1
"informasi yang diberikan sangat mudah di akses, hanya saja kadang sulit untuk dimengerti .",0,1,0,1
Sudah bagus,0,1,0,1
sudah lumayan memuaskan,0,1,0,1
"Untuk Sistem Informai sudah lumayan baik, terutama Igracias tidak mudah down ketika registrasi",1,1,0,1
"TUNE dipercepat lah, kasihan mahasiswa akhir bulan",1,0,0,1
sudah cukup,0,1,0,1
bagus,0,1,0,1
"Informasinya harus jelas dan menyeluruh dong, jangan asal di bagiin ke beberapa organisasi kampus dan suruh mereka share , harus menyeluruh ke semua mahasiswa",1,0,0,1
-,0,0,0,0
harus cepat memutuskan sesuatu,0,0,0,0
Baik,0,1,0,1
Wifi kencengin lagi masih lambat,0,1,1,0
-,0,0,0,0
"layanan internetnya(tune) hanya bisa dipakai satu aja, kalau dipakau hp di laptop tidak bisa",1,0,1,0
tidak ada,0,1,0,1
keep better,0,1,0,1
good,0,1,0,1
we,0,0,0,0
lebih baik lagi,0,0,0,0
"Sudah bagus, hanya saja pemberian informasi masih ada 1-3 hari sebelum  deadline",1,1,0,1
Semga lebih baik lagi,0,1,0,1
ga,0,1,0,1
bagus,0,1,0,1
tingkatkan,0,0,0,0
tingkatkan,0,0,0,0
sudah cukup baik dan jelas dalam menyamoaikan nformasi,1,1,0,1
"terus tingkatkan, sudah cukup memuaskan",0,1,0,1
Sangat Baik,0,1,0,1
pertahankan,0,1,0,1
.,0,0,0,0
Semangat,0,1,0,1
menurut saya layanan sistem informasinya bagus,1,1,0,1
"layanan sistem informasi di telkom university sudah cukup baik, tingkatkan lagi",1,1,0,1
-,0,0,0,0
sudah bagus,0,1,0,1
nothing,0,1,0,1
Oke oke aja,0,1,0,1
LEBIH DIRAWAT DAN DITINGKATKAN,0,0,0,0
saran agar respon dari helpdesk sisfo lebih cepat,1,0,0,1
-,0,0,0,0
Sudah Bagus,0,1,0,1
perlu adana integrasi antara sisfo dan keuangan,1,0,0,1
+,0,0,0,0
ditigkatkan lagi,0,0,0,0
Tidak Perlu,0,1,0,1
Tingkatkan lagi,0,0,0,0
Semoga pemberian informasi semakin jelas,1,0,0,1
lebih diperhatikan lagi,0,0,0,0
layanan sistem informasi juga sudah baik dan memuaskan,1,1,0,1
Jadi yg terbaik,0,1,0,1
None,0,1,0,1
"Sudah baik,pertahankan",0,1,0,1
Semoga sistem informasi nya semakin akurat tajam dan terpercaya.,0,0,0,0
Lebih d tingkatkan fasilitas penunjang,0,0,0,0
sudah cukup baik,0,1,0,1
Perbaikan koneksi internet di daerah yang tidak terdapat AP.,0,1,1,0
-,0,0,0,0
sudah bagus,0,1,0,1
Lebih di tingkatkan lg,0,0,0,0
sudah cukup baik,0,1,0,1
Semoga TUNE bisa dipakai multi device,1,0,0,1
-,0,0,0,0
-,0,0,0,0
Hahaha,0,0,0,0
Perlu ditingkatkan,0,0,0,0
"fasilitas internef tingatkan, sistem absensi perbaiki",1,0,1,0
sudah baik,0,1,0,1
satisfied,0,1,0,1
penyebaran informasi kurang efektif. banyak mahasiswa yang belum mengetahui informasi penting karena keterbatasan fasilitas,1,0,0,1
sejauh ini cukup baik tetapi informasi harus lebih cepat lagi disampaikan kepada mahasiswa tanpa harus menunggu informasi dari teman terlebih dahulu,1,0,0,1
lebih baik,0,1,0,1
layanan implementasi nya sudah bagus untuk saat ini,0,1,0,1
"internet harus lebih kencang,karena ini kampus it",0,1,1,0
bagus,0,1,0,1
Bagus,0,1,0,1
konektivitas tune kadang cepat kadang tidak bisa disambungkan ke internet,1,0,1,0
TUNE harap diperbaiki,1,0,0,1
"Mungkin perlu dishare di igracias tentang seluruh akun official telkom university. Selain sebagai media informasi juga dapat meminimalisir penipuan oleh ""oknum2"" yang mengatasnamakan telkom university.",1,0,0,1
kurang,0,0,0,0
cukup,0,1,0,1
"Saya harap telkom dapat memberikan layanan aplikasi berbasis mobile untuk menunjang mahasiswa, dosen, serta staff telkom university",1,0,0,1
Layanan sistem informasi : menurut saya hanya perlu ditingkatkan namun sudah cukup,1,1,0,1
sangat memuaskan,0,1,0,1
Sudah cukup memuaskan,0,1,0,1
-,0,0,0,0
jangan sering error,1,0,1,0
Buatkan sistem informasi berbasis aplikasi mobile.,1,0,0,0
ya bagus,0,1,0,1
-,0,0,0,0
smngat,0,1,0,1
"menurut saya layanan sistem informasi sudah cukup baik, tetapi terkadang sulit untuk login wifi.",1,1,1,0
"makin bnyak lagi seperti info"" di mading",1,0,0,1
"layanan informasi hanya dipermasalahan jangka waktu, informasi sering diberikan terlalu mepet. Sehingga membuat mahasiswa jadi kurang persiapan.",1,0,0,1
Kurang memuaskan,0,0,0,0
igraciasnya masih sering down,1,0,0,1
tk,0,1,0,1
good,0,1,0,1
tidak ada,0,1,0,1
-,0,0,0,0
"sudah bagus, ramah",0,1,0,1
untuk layanan sistem informasi lebih ditingkatkan.,1,0,0,1
semoga bisa lebih baik lagi,0,1,0,1
SAMAIN!,0,0,0,0
Semoga lebih baik lagi,0,0,0,0
semoga lebih baik,0,0,0,0
Cukup baik,0,1,0,1
tolong diperbaiki layanan internetnya,0,1,1,0
.,0,0,0,0
Lebih jelas lagi dalam penyampaian informasi,1,0,0,1
sudah cukup baik,0,1,0,1
penyebaran informasi jangan pada satu titik,1,0,0,1
"semoga di tingkatkan lagi, dalam meningkatkan kualitas layanan informasi di telkom university",1,0,0,1
baik,0,1,0,1
-,0,0,0,0
lebih baik lagi,0,1,0,1
Sistem informasi sudah baik sejauh ini tidak ada kendala,1,1,0,1
sudah baik,0,1,0,1
semoga pelayanannya semakin baik,0,0,0,0
sudah cukup baik,0,1,0,1
tingkatkan,0,0,0,0
gaada,0,1,0,1
Baik,0,1,0,1
sudah bagus,0,1,0,1
sudah sangat bagus,0,1,0,1
More security,0,0,0,0
yaa lebih cepat lagi mengasih informasinya,1,0,0,1
tingkatkan lagi,0,0,0,0
"bagus, permudah pelayanan",0,1,0,1
baikk,0,1,0,1
sangat puas,0,1,0,1
Sangat bagus,0,1,0,1
"sudah baik, ditingkatkan lagi fasilitas yang ada",0,1,0,1
lebih ditingkatkan lagi sehingga mahasiswa lebih dipermudah,0,0,0,0
be better,0,0,0,0
semoga layanan igracias tidak sering trouble,1,0,0,1
"Sudah baik, tingkatkan lagi kualitasnya",0,1,0,1
sudah baik,0,1,0,1
Tidak ada,0,1,0,1
u,0,0,0,0
Baik,0,1,0,1
ya,0,1,0,1
good,0,1,0,1
Dipercepat lagi koneksi internetnya,0,1,1,0
Kadang suka lelet,0,0,0,0
sudah cukup baik,0,1,0,1
sudah cukup baik,0,1,0,1
"igracias di tingkatkan lagi,masih bingung tentang igracias",1,0,0,1
tidak ada,0,1,0,1
-,0,0,0,0
Penggunaan tune lebih dilayani. Bisa digunakan lebih dari 1 device,1,0,0,1
lumayan bagus,0,1,0,1
Sudah baik,0,1,0,1
Informasi-informasi penting tidak hanya disampaikan lewat media Facebook saja.,1,0,0,1
Cukup puas,0,1,0,1
sudah cukup baik,0,1,0,1
sangat baik,0,1,0,1
Untuk informasi sudah cukup baik.,1,1,0,1
sudah bagus,0,1,0,1
semoga jadi lebih baik lagi,0,1,0,1
y,0,0,0,0
Semoga kedepannya sudah dapat terkomputerisasi sehingga kegiatan administrasi menjadi mudah,1,0,0,1
tingkatkan,0,0,0,0
-,0,0,0,0
yes,0,1,0,1
-,0,0,0,0
"Internet wifi sebagai penunjang yang masih belum optimal, lemot, dan sering putus-putus",,1,1,0
tune harus lebih mudah di akses,1,0,0,1
sudah bagus,0,1,0,1
sudah baik sekali,0,1,0,1
-,0,0,0,0
sistem nya lebih diperbaiki lagi,1,0,0,1
sudah cukup baik,0,1,0,1
Saya menginginkan adanya informasi yang cepat dan akurat,1,0,0,1
Cukup bagus. tapi kalo bias ditingkatkan lagi,0,1,0,1
Internet masih lambat,0,1,1,0
tune agar diperbaiki karena sering kali akun saya limited padahal saya belum menggunakannya dan bau saja ingin menggunakannya,1,0,0,1
permudahkan aksesnya utk mahasiswa,0,0,0,0
ok,0,1,0,1
wifinya dipercepat,0,1,1,0
tidak ada,0,1,0,1
bagus,0,1,0,1
-,0,0,0,0
Goodluck!,0,1,0,1
sebaiknya implementasi layanan di Universitas Telkom dalam bidang Layanan Sistem Informasi disosialisasikan kepada sluruh mahasiswa tanpa ada pengecualian,1,0,0,1
sudah sangat baik,0,1,0,1
baik,0,1,0,1
sudah baik dan harus lebih baik lagi,0,1,0,1
"lebih di tingkatkan lagi pelayanannya, karena masih kurang dalam pelayanan.",0,0,0,0
lanjutkan,0,1,0,1
untuk bidang sistem informasi untuk data data yang telah di daftarkan agar lebih di perhatikan lagi. dan untuk kesalahan data tolong agar penanganan yang di berikan lebih cepat lagi. soal nya banyak yang menyangkut nilai juga,1,0,0,1
sudah baik namun terus ditingkatkan,0,1,0,1
-,0,0,0,0
Baik,0,1,0,1
sudah baik,0,1,0,1
sudh bagus tingkatkan lagi,0,1,0,1
Tidak ada,0,1,0,1
sudah bagus,0,1,0,1
Masih terbilang baik sampai saat ini,0,1,0,1
tidak ada,0,1,0,1
jangan dipersulit untuk mahasiswa,0,0,0,0
"layanan igracias tidak ada masalah, mungkin hanya perlu perbaikan dari sisi user interface yang di beberapa bagian terkesan tidak konsisten dan berantakan. Perbaikan justru perlu dilakukan pada website milik kampus karena terkesan tidak tersusun rapi dan hanya sekadar ""ada"". mahasiswa yang ingin mencari informasi tertentu kadang merasa kesulitan karena link yang diperlukan terkubur terlalu dalam atau salah pengelompokan di dalam website. penggunaan bahasa asing di dalam website milik kampus pun masih banyak yang bisa diperbaiki tatabahasanya.",1,0,0,1
Baik,0,1,0,1
ya,0,1,0,1
tidak ada,0,1,0,1
Semoga lebih baik,0,1,0,1
Lebih ditingkatkan lagi,0,0,0,0
kurang adanya informasi yang jrlas,1,0,0,1
Sudah bagus lanjutkan,0,1,0,1
Ngga ada,0,1,0,1
sudah baik dan agus dalam memberi informasi,1,1,0,1
Bagud,0,1,0,1
"Pelayanan sudah baik, tapi perlu ditingkatkan lagi",0,1,0,1
Sudah cukup,0,1,0,1
lumayan memuaskan,0,1,0,1
bagus,0,1,0,1
cukup baik,0,1,0,1
lebih cepat menanggapi tentang informasu terbaru,1,0,0,1
Semoga lebih baik lagi.,0,1,0,1
jaringan kurang,0,1,1,0
Lebih baik ditingkatkan,0,1,0,1
lebih diperbaiki lagi sistemnya agar lebih maju dan mudah dalam pemakaiannya,1,0,0,1
Good job,0,1,0,1
Untuk internet agar jangkauannya diperluas agar tidak sulit untuk mengaksesnya,0,1,1,0
Menurut saya sudah cukup,0,1,0,1
Sudah baik informasinya cuman harus di lebih tingkatkan kembali,1,1,0,1
internet lemot,0,1,1,0
oke,0,1,0,1
sudah sangat baik,0,1,0,1
diperbaiki sistem yang masih bermasalah,1,0,0,1
a,0,0,0,0
Lanjutkan,0,1,0,1
lebih disebar lg informasi yg ada,1,0,0,1
sudah bagus,0,1,0,1
"Pada bidang layanan ini saya sudah merasakan banyak perubahan semenjak 3 tahun kebelakang, user interface pada igracias dan juga kecepatan internet sudah lebih baik dibanding sebelumnya. Meskipun demikian saya berharap ada peningkatan lebih lagi pada layanan ini. Tapi 1 tahun terakhir ini setiap ada libur akhir semester perkuliahan kami mahasiswa sering mendapat pemberitahuaan mengenai kejadian hacker di beberapa website layanan perkuliahan di kampus ini. Yang kami takutkan adalah jika ada pihak yang tidak bertanggung jawab sampai mampu melakukan hack sampai ke layanan igracias dan melakukan perubahan-perubahan data terkait perkuliahan mahasiswa disana. Mohon untuk lebih ditingkatkan keamanan jaringan di kampus ini.",1,1,1,1
-,0,0,0,0
tingkatkan kinerja,1,0,0,1
bagus,0,1,0,1
harus keibh bisa dioptimalkan lagi,0,0,0,0
"kurang lancer, masih lag",0,0,1,0
cukup baik,0,1,0,1
wifi.id sebulan sekali dapet voucher gratis hehe,0,1,1,0
Semoga lebih cepat aksesnya,0,1,0,1
perbanyakin lagi informasi terbaru,1,0,0,1
"lebih ditingkatkan lagi fasilitas, kinerja dan pelayanannya.",1,0,0,1
-,0,0,0,0
Perlu  ditingkatkan,0,0,0,0
Cukup baik,0,1,0,1
lebih baik lg,0,0,0,0
hanya pada kecepatan koneksi tune yang kurang cepat,1,0,1,0
sudah sangat membantu,0,1,0,1
dalam sistem informasi kadang suka telat tapi kadang juga on time harus lebih cekatan dalam memberi informasi,1,0,0,1
"saran agar kami, mahasiswa dilayani dengan ramah dan cepat",1,0,0,1
-,0,0,0,0
update pemberitahuan jangan terlalu mendadak,1,0,0,1
menurut saya layanan nya sudah baik / bagus,0,1,0,1
Baik,0,1,0,1
,0,0,0,0
sudah baik,0,1,0,1
Bisa membuat mahasiswa merasa mudah dan nyaman saat mencari informasia yang disediakan,1,0,0,1
sudah cukup baik,0,1,0,1
layanan informasinya sudah bagus karena cepat diakses walau terkadang server down karena banyak yang membuka. namun itu hal yang wajar.,1,1,0,1
"berharap internet di kampus jadi mudah di akses, dan cukup memadai untuk menunjang kegiatan di kampus",0,1,1,0
sudah baik kalau bisa urusan ke sisfo dipermudah jngan di buat repot,1,0,0,1
Cukup baik,0,1,0,1
layanan sudah baik dari sebelumnya.,0,1,0,1
bagus,0,1,0,1
sudah cukup baik,0,1,0,1
Harusnya memiliki sarana informasi untuk setiap bidang yg mengalami perubahan jadwal ataupun kebijakan,1,0,0,1
Semoga bagian layanan sisfo lebih baik dan lebih ramah,1,0,0,1
layanan sistem informasi nya sudah merespon dan cukup merasa puas dengan proses dan mudahnya mengakses.,1,1,0,1
Agar diperbaiki yang kurangnya,0,0,0,0
layanan informasi sudah sangat memuaskanperlu tingkatkan lagi saja konektivitas wifi asrama.,1,1,1,0
tidak ada,0,1,0,1
ok,0,1,0,1
lebih baik lagi,0,0,0,0
memaksimalkan lagi pelayanan i-Gracias nya.,1,0,0,1
layanannya lumayan bagus mohon ditingkatkan lagi,0,1,0,1
tingkatkan,0,0,0,0
sangat baik dalam mencari suatu informasi,1,1,0,1
semoga tidak ada gangguan sistem,1,0,0,1
Layananya sudah baik,0,1,0,1
sudah baik. tingkatkan kualitas internet,0,1,1,1
Lebih ditingkatkan,0,0,0,0
"Sistem informasinya bagus, tapi terkadang sistemnya sering error",1,0,0,1
sudah cukup,0,1,0,1
sudah baik,0,1,0,1
sudah sangat bagus,0,1,0,1
-,0,0,0,0
-,0,0,0,0
Sudah baik,0,1,0,1
BE BETTER,0,1,0,1
lebih baik lagi untuk kedepannya,0,0,0,0
layanan dalam bidang sistem informasi masih perlu ditingkatkan,1,0,0,1
bak,0,1,0,1
Good inaf,0,1,0,1
No comment,0,1,0,1
lanjutkan dan tingkatkan,0,1,0,1
"Sudah sangat baik, banyak sarana informasi yang selalu memberikan informasi penting",,1,0,1
"saran saya agar layanan sistem informasi lebih ditingkatkan lagi, karena sering terjadi error system terutama pada TUNE",1,0,0,1
-,0,0,0,0
sudah bisa mengakses informasi,1,1,0,1
no coment,0,1,0,1
ok,0,1,0,1
sudah cukup bagus,0,1,0,1
-,0,0,0,0
"sudah baik, tingkatkan",0,1,0,1
-,0,0,0,0
Pengumuman seputar akademik lebih di perbaiki lagi,1,0,0,1
informasi kadang masih kurang menyebar luas,1,0,0,1
IKUTIN T+ITB,0,0,0,0
-,0,0,0,0
"sudah berjalan dengan baik, mungkin dalam penyampaiannya dan masalah menanggapi keluhan yang ada misal seperti internet, agar mohon di kerjakan dengan cepat dan maksimal",1,0,1,0
Tidak ada saran,0,1,0,1
tingkatkan lagi,0,0,0,0
Sudah bagus,0,1,0,1
Lebih di perjelas,0,0,0,0
Sudah cukup baik,0,1,0,1
lebih di tingkatkan pelayanannya,0,0,0,0
.,0,0,0,0
bagus kokkk.. tidak mengecewakan,0,1,0,1
harapan saya adalah sistem informasi dapat menambah kecepatan internet di kampus,1,0,1,0
semoga bisa dapat lebih ditingkatkan lagi layanannya,0,0,0,0
sangat muda diperoleh karena banyak media sosial yang dipae telkom,1,1,0,1
lebih baik lagi,0,1,0,1
lebih ditingkatkan lagi fasilitasnya,0,0,0,0
permudah dan percepat,0,0,0,0
sudah baik,0,1,0,1
informasi diperjelas lagi,1,0,0,1
yaa cukup baik informasi yang diberikan,1,1,0,1
Sistem informasi yang lebih optimal,1,1,0,1
informasi yang diberikan jangan mendadak,1,0,0,1
Tingkatkan,0,0,0,0
sudah cukup baik,0,1,0,1
Sudah cukup baik. Pertahankan.,0,1,0,1
sangat menarik,0,1,0,1
tidak ada,0,1,0,1
Bagus,0,1,0,1
sudah baik dalam bagian sistem informasi,1,1,0,1
sudah sangat mudah mendapatkan informasi meskipun tunenya jarang stabil,1,1,0,1
harus lebih disebar lagi dalam berbagai informasi agar semua mahasiswa tahu informasi,1,0,0,1
avafev,0,0,0,0
sudah baik,0,1,0,1
Pasang WIFI ID di FEB,0,1,1,0
.,0,0,0,0
N,0,0,0,0
untuk sistem informasi lebih di perbaiki lagi sehingga tidak ada gangguan yang membuat pengguna tidak nyaman,1,0,0,1
aa,0,0,0,0
no comment,0,1,0,1
Kuantitas server diperbesar agar saat registrasi tidak sering down,1,0,0,1
di tingkatkan,0,0,0,0
Saran saya dalam layanan Internet TUNE.,1,0,1,0
,0,0,0,0
lebih tingkatkan lagi,0,0,0,0
sudah baik,0,1,0,1
Sudah bagus,0,1,0,1
-,0,0,0,0
"One spot service, kayanya lebih bagus supaya tidak mondar mandir untuk pengurusan administrasi atau informasi",1,0,0,1
cukup,0,1,0,1
semoga layanan sistem informasi bisa lebih baik,1,0,0,1
"sudah baik, tapi kurang sosialisasi mungkin. bisa dibuat line OA sisfo tel-u untuk menampung keluhan dan masukan mahasiswa",1,0,0,1
"sudah sangat baik dan bagus, harap kepada yang berada di atas lebih meihat di bawah karena kinerja anggota tergantung dari ketuanya",0,1,0,1
lebih ditingkatkan kembali dalam layanan sistem informasi,1,0,0,1
Lanjutkan,0,1,0,1
sudah bagus informasi cepat dikenal,1,1,0,1
teu apal euy,0,0,0,0
I often can not use my tune account because it is used by someone.,1,0,0,1
tingkatkan,0,0,0,0
sudah cukup,0,1,0,1
Lebih baik,0,1,0,1
baik,0,1,0,1
-,0,0,0,0
tidak ada,0,1,0,1
tidak ada,0,1,0,1
mantap,0,1,0,1
"sudah cukup baik, namun wifi suka error when we need it the most. lalu kadang banyak area yang ga ke cover wifi padahal masih di dalam kampus.",0,1,1,0
"jika ada informasi sebaiknya dishare lebih luas, karena mahasiswa jarang sekali membuka iGracias",1,0,0,1
cukup,0,1,0,1
igracias sering eror,1,0,0,1
